"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","gene_id"
"ENSMUSG00000035413.8",98.0260395095173,-9.26281353338644,3.01182995075894,5.38997830375123e-08,4.86785517524788e-07,"Tmem98","ENSMUSG00000035413"
"ENSMUSG00000035498.9",54.7263842696415,-8.04201637428819,3.11485298968566,1.28392438896748e-05,8.11038884091435e-05,"Cdcp1","ENSMUSG00000035498"
"ENSMUSG00000036062.9",91.3007143396123,9.69318663251033,1.65224298678645,3.83141488466379e-10,4.36959502195145e-09,"Phf24","ENSMUSG00000036062"
"ENSMUSG00000036667.10",64.6906096899744,-8.02537462885416,3.31844453707962,4.57435794596001e-05,0.000257058648208417,"Tcaf1","ENSMUSG00000036667"
"ENSMUSG00000036899.6",110.914358913258,11.9156843190335,3.02721664115296,5.77994690295606e-12,7.61276444371438e-11,"Trpv5","ENSMUSG00000036899"
"ENSMUSG00000037106.8",528.441882768366,14.6346168948121,2.94270021109803,9.12930617072399e-21,1.93342316799867e-19,"Fer1l6","ENSMUSG00000037106"
"ENSMUSG00000037124.6",7109.75014981529,8.46928336149713,0.338869658997544,1.23013121874815e-138,3.17503341933734e-136,"Trim58","ENSMUSG00000037124"
"ENSMUSG00000037872.5",667.057095693448,13.7299394133542,2.85245313490493,4.89609694104433e-18,9.25853190188229e-17,"Ackr1","ENSMUSG00000037872"
"ENSMUSG00000037887.7",719.058595230016,8.77934654452108,0.657735325231737,2.65091759203332e-39,1.00516236118542e-37,"Dusp8","ENSMUSG00000037887"
"ENSMUSG00000038677.9",60.2313941323354,-8.18412910112715,3.05640091572913,5.38606518020706e-06,3.62819555545816e-05,"Scube3","ENSMUSG00000038677"
"ENSMUSG00000039315.11",95.7651186610679,-9.32520969651898,3.07270515743289,1.13849703976469e-07,9.86429237280219e-07,"Clnk","ENSMUSG00000039315"
"ENSMUSG00000039578.12",113.370449021107,-9.89118101643204,3.22526496542337,1.23318781634203e-07,1.06346184959109e-06,"Ccser1","ENSMUSG00000039578"
"ENSMUSG00000039652.12",4014.21657766939,9.29309954458446,0.394393793546936,5.40917653396754e-124,1.13685435953901e-121,"Cpeb3","ENSMUSG00000039652"
"ENSMUSG00000039956.4",28.3451279031527,8.8294052999545,3.52227888405144,5.31215536594424e-05,0.00029435943406317,"Mrap","ENSMUSG00000039956"
"ENSMUSG00000040254.7",277.552992781283,-11.6096407653411,3.22308353890261,7.53435690135113e-12,9.81802114549848e-11,"Sema3d","ENSMUSG00000040254"
"ENSMUSG00000040724.1",47.1236829518643,9.59179180082794,3.15627652261072,1.24683797032134e-06,9.3817818768649e-06,"Kcna2","ENSMUSG00000040724"
"ENSMUSG00000040841.5",97.2325224433316,-9.01119419619828,3.09179597620027,5.39992147632639e-07,4.291931105333e-06,"Six5","ENSMUSG00000040841"
"ENSMUSG00000041180.9",111.082934889413,-8.17126365343032,2.9162221286615,1.41583041944756e-06,1.05306861126959e-05,"Hectd2","ENSMUSG00000041180"
"ENSMUSG00000041372.9",39.1465927010205,8.38134443636875,3.27524513046051,3.70663028934334e-05,0.000212517321967339,"B4galnt3","ENSMUSG00000041372"
"ENSMUSG00000041842.11",22121.4068352035,8.88628360562702,0.289707618951031,5.25388134551236e-209,2.76053936982778e-206,"Fhdc1","ENSMUSG00000041842"
"ENSMUSG00000042066.11",147015.411764372,10.8042403983519,0.283442226065213,0,0,"Tmcc2","ENSMUSG00000042066"
"ENSMUSG00000042216.9",103.670608492451,-9.31787904457818,3.11080612562717,2.13642336807677e-07,1.7919646859262e-06,"Sgsm1","ENSMUSG00000042216"
"ENSMUSG00000042351.8",2938.95232867452,8.26426045728755,0.53188767850617,9.96292898767291e-56,5.81645282804142e-54,"Grap2","ENSMUSG00000042351"
"ENSMUSG00000042453.10",11771.5279067426,9.80549871099458,3.32906289345034,1.73935686528568e-05,0.000106756020868097,"Reln","ENSMUSG00000042453"
"ENSMUSG00000043340.3",28.9370920067342,8.22110038798607,3.09983571995206,2.47078777479917e-05,0.000147107364398403,NA,"ENSMUSG00000043340"
"ENSMUSG00000044165.8",350.086429635214,8.18423056347488,1.40637943047117,3.51132918863608e-10,4.0170042786325e-09,"Bcl2l15","ENSMUSG00000044165"
"ENSMUSG00000044220.13",156.00895025898,-10.474284325308,3.21115125209835,7.06822317937673e-09,7.10784001469518e-08,"Nkx2-3","ENSMUSG00000044220"
"ENSMUSG00000044352.6",10062.0085009851,19.1025314012619,2.92487020078914,2.61661450937719e-36,9.01537064682839e-35,"Sowaha","ENSMUSG00000044352"
"ENSMUSG00000044468.10",56567.6157313541,10.5401398655451,0.222706650972165,0,0,"Tent5c","ENSMUSG00000044468"
"ENSMUSG00000045284.5",73.7330776629509,-8.8848062816955,3.0849254469007,7.71110824221657e-07,5.98974785952958e-06,"Dcaf12l1","ENSMUSG00000045284"
"ENSMUSG00000046152.12",146.731593801321,-8.77228397420834,3.53170863205812,3.42252754628263e-05,0.000197847643461336,"Fut10","ENSMUSG00000046152"
"ENSMUSG00000046634.8",210.870260270576,12.286605999262,3.06447523817736,7.87412295124489e-12,1.02516899874969e-10,"Pkd1l1","ENSMUSG00000046634"
"ENSMUSG00000046916.8",502.467689521447,-8.33174449041594,1.24560013619595,8.75123290203148e-12,1.13534513628472e-10,"Myct1","ENSMUSG00000046916"
"ENSMUSG00000046942.13",7870.92693208986,18.111303102546,3.48942776866645,3.06267079687281e-15,4.995345095742e-14,"Mageb16","ENSMUSG00000046942"
"ENSMUSG00000047535.10",38.4734308142324,8.97691417808204,3.53908901324159,4.64275936076457e-05,0.000260703342425834,"Or52z1","ENSMUSG00000047535"
"ENSMUSG00000047977.3",157.787741650822,12.6607893503996,3.12169864663002,2.3266681612132e-12,3.140361650254e-11,"Synb","ENSMUSG00000047977"
"ENSMUSG00000049409.7",1748.49953580822,9.02600263494404,1.66971442463504,1.96665954727891e-09,2.08755377053155e-08,"Prokr1","ENSMUSG00000049409"
